Ticker,ISIN,Sector,Allocation,Fund,Index
SJPA,IE00B4L5YX21,Financials,13.64,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Technology,13.04,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Health Care,7.04,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Telecommunications,6.34,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Consumer Staples,5.79,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Materials,5.1,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Real Estate,3.61,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Other,3.2,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
XRS2,IE00BJZ2DD79,Financials,16.57,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Industrials,15.71,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Health Care,15.22,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Technology,14.9,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Consumer Discretionary,9.36,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Real Estate,5.78,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Energy,4.61,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Materials,3.63,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Consumer Staples,2.62,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
XRS2,IE00BJZ2DD79,Other,11.6,Xtrackers Russell 2000 UCITS ETF 1C,Russell 2000
VUKG,IE00BFMXYP42,Financials,19.3,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Consumer Staples,17.15,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Industrials,14.02,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Health Care,10.78,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Energy,10.53,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Materials,7.25,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Consumer Discretionary,5.25,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Utilities,4.22,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Telecommunications,3.22,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Other,8.28,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
EQEU,IE00BYVTMS52,Technology,52.01,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
EQEU,IE00BYVTMS52,Telecommunications,14.79,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
EQEU,IE00BYVTMS52,Consumer Discretionary,14.75,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
EQEU,IE00BYVTMS52,Consumer Staples,5.5,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
EQEU,IE00BYVTMS52,Health Care,4.51,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
EQEU,IE00BYVTMS52,Industrials,3.74,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
EQEU,IE00BYVTMS52,Utilities,1.25,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
EQEU,IE00BYVTMS52,Energy,0.56,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
EQEU,IE00BYVTMS52,Other,3.08,Invesco Nasdaq-100 UCITS ETF EUR Hedged,Nasdaq-100 (EUR Hedged)
XDNE,IE00BRB36B93,Industrials,22.14,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Consumer Discretionary,19.8,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Financials,16.45,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Technology,14.49,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Health Care,8.14,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Telecommunications,7.64,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Consumer Staples,4.44,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Materials,3.83,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Real Estate,2.41,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Other,0.66,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
MEU,FR0010261198,Financials,19.04,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Industrials,17.0,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Health Care,11.26,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Consumer Discretionary,9.77,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Consumer Staples,9.64,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Technology,8.58,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Energy,4.57,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Materials,4.51,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Telecommunications,4.05,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Other,11.58,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
AFIP,LU1602145036,Financials,29.37,Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,MSCI Pacific ex-Japan
AFIP,LU1602145036,Real Estate,23.62,Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,MSCI Pacific ex-Japan
AFIP,LU1602145036,Materials,15.22,Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,MSCI Pacific ex-Japan
AFIP,LU1602145036,Industrials,13.51,Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,MSCI Pacific ex-Japan
AFIP,LU1602145036,Health Care,9.83,Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,MSCI Pacific ex-Japan
AFIP,LU1602145036,Technology,4.64,Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,MSCI Pacific ex-Japan
AFIP,LU1602145036,Utilities,3.82,Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,MSCI Pacific ex-Japan
EGDGR,LU2365458905,Real Estate,99.08,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Health Care,0.24,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Other,0.69,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EUNI,IE00B3F81G20,Technology,17.24,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Industrials,15.95,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Materials,10.94,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Consumer Discretionary,10.77,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Financials,9.49,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Health Care,8.64,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Real Estate,6.07,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Consumer Staples,5.82,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Utilities,2.97,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Other,12.11,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
WHCS,IE00BJ5JNZ06,Health Care,92.45,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,Consumer Discretionary,0.25,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,Other,7.3,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
CSPXJ,IE00B52MJY50,Financials,41.34,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Materials,12.0,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Real Estate,8.14,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Industrials,7.74,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Health Care,7.12,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Consumer Discretionary,5.53,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Utilities,3.88,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Consumer Staples,3.23,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Telecommunications,2.9,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
CSPXJ,IE00B52MJY50,Other,8.12,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),MSCI Pacific ex-Japan
EXH7,DE000A0H08N1,Consumer Discretionary,53.91,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Consumer Staples,44.24,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Telecommunications,0.36,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Industrials,0.21,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Other,1.28,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
NTSX,IE000KF370H3,Technology,32.36,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Financials,11.1,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Consumer Discretionary,10.92,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Health Care,9.34,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Telecommunications,8.92,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Industrials,5.91,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Consumer Staples,4.92,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Energy,2.4,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Real Estate,1.76,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Other,14.45,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
CHIP,LU1900066033,Technology,98.32,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
CHIP,LU1900066033,Industrials,0.0,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
CHIP,LU1900066033,Other,1.68,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
SXRW,IE00B53HP851,Financials,20.91,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Consumer Staples,17.75,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Industrials,14.05,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Health Care,11.15,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Energy,10.6,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Materials,7.11,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Consumer Discretionary,5.29,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Utilities,4.18,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Telecommunications,3.19,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Other,5.77,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
XCAC,LU0322250985,Industrials,27.56,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Consumer Discretionary,23.66,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Financials,9.59,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Consumer Staples,9.2,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Energy,7.24,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Health Care,6.8,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Materials,5.97,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Technology,4.18,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Utilities,2.8,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XCAC,LU0322250985,Other,3.0,Xtrackers CAC 40 UCITS ETF 1D,CAC 40
XDWL,IE00BK1PV551,Technology,27.55,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Financials,13.81,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Consumer Discretionary,11.26,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Industrials,9.91,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Health Care,9.56,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Telecommunications,7.91,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Consumer Staples,5.59,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Energy,3.94,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Materials,2.88,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Other,7.59,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDPE,IE00BM67HW99,Technology,35.14,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Consumer Discretionary,11.39,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Financials,10.69,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Health Care,9.86,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Telecommunications,9.42,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Industrials,7.51,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Consumer Staples,5.22,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Energy,3.12,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Utilities,2.32,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
XDPE,IE00BM67HW99,Other,5.33,Xtrackers S&P 500 UCITS ETF 1C EUR hedged,S&P 500 EUR Hedged
IDVY,IE00B0M62S72,Financials,56.92,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Utilities,9.17,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Consumer Discretionary,8.13,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Consumer Staples,5.24,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Telecommunications,5.21,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Industrials,3.86,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Energy,3.29,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Materials,3.01,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Health Care,2.28,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Other,2.89,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
EXSI,DE000A0D8Q07,Financials,19.31,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Industrials,18.84,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Technology,14.51,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Consumer Discretionary,13.92,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Consumer Staples,6.02,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Health Care,5.77,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Utilities,5.61,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Telecommunications,4.47,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Materials,4.35,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
EXSI,DE000A0D8Q07,Other,7.2,iShares EURO STOXX UCITS ETF (DE),EURO STOXX
R2US,IE00BJ38QD84,Financials,16.56,SPDR Russell 2000 US Small Cap UCITS ETF,Russell 2000
R2US,IE00BJ38QD84,Industrials,15.78,SPDR Russell 2000 US Small Cap UCITS ETF,Russell 2000
