Ticker,ISIN,Country,Allocation,Fund,Index
WFIN,IE00BYTRR970,France,1.58,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Other,12.51,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
IBGS,IE00B14X4Q57,France,11.46,iShares Euro Government Bond 1-3yr UCITS ETF (Dist),Bloomberg Euro Government Bond 1-3 Year
IBGS,IE00B14X4Q57,Spain,7.08,iShares Euro Government Bond 1-3yr UCITS ETF (Dist),Bloomberg Euro Government Bond 1-3 Year
IBGS,IE00B14X4Q57,Italy,6.78,iShares Euro Government Bond 1-3yr UCITS ETF (Dist),Bloomberg Euro Government Bond 1-3 Year
IBGS,IE00B14X4Q57,Other,74.68,iShares Euro Government Bond 1-3yr UCITS ETF (Dist),Bloomberg Euro Government Bond 1-3 Year
SRECHA,CH0105994401,Switzerland,43.1,UBS ETF (CH) SXI Real Estate Funds (CHF) A-dis,SXI Real Estate Funds Broad
SRECHA,CH0105994401,Other,56.9,UBS ETF (CH) SXI Real Estate Funds (CHF) A-dis,SXI Real Estate Funds Broad
XEYX,FR0010150458,France,92.41,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Netherlands,6.5,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Switzerland,1.09,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Other,0.0,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
IEMO,IE00BQN1K786,Germany,20.92,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Switzerland,17.09,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,United Kingdom,16.51,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,France,8.48,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Italy,7.1,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Spain,6.1,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Sweden,4.8,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Netherlands,4.54,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Luxembourg,2.89,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Other,11.57,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IE3E,IE000AK4O3W6,France,17.08,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,United States,14.97,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,Netherlands,12.3,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,United Kingdom,9.67,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,Germany,7.9,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,Spain,5.51,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,Italy,4.28,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,Sweden,3.76,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,Australia,2.53,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
IE3E,IE000AK4O3W6,Other,22.0,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI
SJPA,IE00B4L5YX21,Japan,98.87,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Other,1.13,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
VUKG,IE00BFMXYP42,United Kingdom,89.38,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Switzerland,2.45,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Ireland,1.89,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
VUKG,IE00BFMXYP42,Other,6.28,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,FTSE 100
XDNE,IE00BRB36B93,Japan,99.84,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
XDNE,IE00BRB36B93,Other,0.16,Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,JPX-Nikkei 400 Daily (EUR Hedged)
VUSC,IE00BDD48R20,United States,54.19,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,Bloomberg Barclays Global Aggregate Corporate 1-3Y
VUSC,IE00BDD48R20,United Kingdom,3.92,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,Bloomberg Barclays Global Aggregate Corporate 1-3Y
VUSC,IE00BDD48R20,Japan,3.33,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,Bloomberg Barclays Global Aggregate Corporate 1-3Y
VUSC,IE00BDD48R20,Canada,2.84,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,Bloomberg Barclays Global Aggregate Corporate 1-3Y
VUSC,IE00BDD48R20,France,2.3,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,Bloomberg Barclays Global Aggregate Corporate 1-3Y
VUSC,IE00BDD48R20,Cayman Islands,1.89,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,Bloomberg Barclays Global Aggregate Corporate 1-3Y
VUSC,IE00BDD48R20,Netherlands,1.24,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,Bloomberg Barclays Global Aggregate Corporate 1-3Y
VUSC,IE00BDD48R20,Other,30.29,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,Bloomberg Barclays Global Aggregate Corporate 1-3Y
MEU,FR0010261198,United Kingdom,21.64,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Switzerland,15.0,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,France,14.65,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Germany,14.1,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Netherlands,8.1,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Sweden,4.69,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Spain,4.04,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Italy,4.01,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Denmark,1.8,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
MEU,FR0010261198,Other,11.97,Amundi MSCI Europe II UCITS ETF Acc,MSCI Europe
GHYG,IE00BJSFQX44,United States,38.31,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,Italy,6.51,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,United Kingdom,5.06,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,France,4.9,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,Germany,4.14,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,Netherlands,3.94,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,Luxembourg,2.64,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,Spain,2.57,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,Sweden,1.39,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
GHYG,IE00BJSFQX44,Other,30.54,iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
EGDGR,LU2365458905,United States,68.24,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,United Kingdom,5.54,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Japan,5.28,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Sweden,3.37,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,France,2.9,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Germany,2.18,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Singapore,2.15,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Switzerland,1.99,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Hong Kong,1.71,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EGDGR,LU2365458905,Other,6.64,BNP Paribas Easy FTSE EPRA Nareit Global Developed Green CTB UCITS ETF,FTSE EPRA Nareit Developed Green EU CTB
EUNI,IE00B3F81G20,India,26.13,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Taiwan,20.31,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,South Korea,9.83,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,China,6.17,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,South Africa,3.71,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Saudi Arabia,3.52,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Malaysia,2.94,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Thailand,2.92,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Brazil,2.49,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
EUNI,IE00B3F81G20,Other,21.98,iShares MSCI Emerging Markets Small Cap UCITS ETF,MSCI Emerging Markets Small Cap
WHCS,IE00BJ5JNZ06,United States,64.14,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,Switzerland,9.46,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,Japan,6.67,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,United Kingdom,4.46,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,Denmark,2.12,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,Ireland,1.76,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,Australia,1.24,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
WHCS,IE00BJ5JNZ06,Other,10.15,iShares MSCI World Health Care Sector UCITS ETF USD (Dist),MSCI World Health Care
EXH7,DE000A0H08N1,France,39.91,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,United Kingdom,33.78,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Switzerland,9.69,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Germany,8.41,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Sweden,2.58,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Italy,1.78,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Denmark,1.67,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
EXH7,DE000A0H08N1,Other,2.18,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),STOXX Europe 600 Personal & Household Goods
NTSX,IE000KF370H3,United States,87.71,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Ireland,1.49,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
NTSX,IE000KF370H3,Other,10.8,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WisdomTree US Efficient Core
EMG,LU1650490474,France,22.32,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Italy,18.32,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Germany,14.95,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Spain,12.79,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Belgium,5.25,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Netherlands,4.11,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Austria,3.04,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Portugal,2.17,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Ireland,1.78,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Finland,1.28,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
EMG,LU1650490474,Other,13.99,Amundi Euro Government Bond II UCITS ETF Acc,Bloomberg Euro Treasury 50bn Bond
CHIP,LU1900066033,United States,69.99,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
CHIP,LU1900066033,Taiwan,16.38,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
CHIP,LU1900066033,Netherlands,6.49,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
CHIP,LU1900066033,Japan,3.01,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
CHIP,LU1900066033,South Korea,1.11,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
CHIP,LU1900066033,Other,3.02,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
SXRW,IE00B53HP851,United Kingdom,92.19,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Switzerland,2.4,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Ireland,1.81,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
SXRW,IE00B53HP851,Other,3.6,iShares Core FTSE 100 UCITS ETF GBP (Acc),FTSE 100
XDWL,IE00BK1PV551,United States,70.15,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Japan,5.12,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,United Kingdom,3.35,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Canada,2.75,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Switzerland,2.46,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,France,2.41,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Germany,2.16,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Australia,1.67,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Ireland,1.38,Xtrackers MSCI World UCITS ETF 1D,MSCI World
XDWL,IE00BK1PV551,Other,8.55,Xtrackers MSCI World UCITS ETF 1D,MSCI World
IUSY,IE00BD8PH174,United States,43.49,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
IUSY,IE00BD8PH174,United Kingdom,23.14,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
IUSY,IE00BD8PH174,France,7.54,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
IUSY,IE00BD8PH174,Italy,4.97,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
IUSY,IE00BD8PH174,Japan,2.49,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
IUSY,IE00BD8PH174,Spain,2.45,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
IUSY,IE00BD8PH174,Germany,2.43,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
IUSY,IE00BD8PH174,Canada,1.7,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
IUSY,IE00BD8PH174,Other,11.79,iShares Global Inflation Linked Government Bond EUR Hedged UCITS ETF (Dist),Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
SXRQ,IE00B3VTN290,Germany,14.58,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),Bloomberg Barclays Euro Government Bond 10 Year Term
SXRQ,IE00B3VTN290,Spain,14.13,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),Bloomberg Barclays Euro Government Bond 10 Year Term
SXRQ,IE00B3VTN290,France,14.04,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),Bloomberg Barclays Euro Government Bond 10 Year Term
SXRQ,IE00B3VTN290,Italy,12.76,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),Bloomberg Barclays Euro Government Bond 10 Year Term
SXRQ,IE00B3VTN290,Netherlands,4.23,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),Bloomberg Barclays Euro Government Bond 10 Year Term
SXRQ,IE00B3VTN290,Other,40.26,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),Bloomberg Barclays Euro Government Bond 10 Year Term
IBGL,IE00B1FZS913,France,28.23,iShares Euro Government Bond 15-30yr UCITS ETF,Bloomberg Barclays Euro Government Bond 15-30 Year Term
IBGL,IE00B1FZS913,Germany,23.57,iShares Euro Government Bond 15-30yr UCITS ETF,Bloomberg Barclays Euro Government Bond 15-30 Year Term
IBGL,IE00B1FZS913,Italy,22.83,iShares Euro Government Bond 15-30yr UCITS ETF,Bloomberg Barclays Euro Government Bond 15-30 Year Term
IBGL,IE00B1FZS913,Spain,12.71,iShares Euro Government Bond 15-30yr UCITS ETF,Bloomberg Barclays Euro Government Bond 15-30 Year Term
IBGL,IE00B1FZS913,Netherlands,8.04,iShares Euro Government Bond 15-30yr UCITS ETF,Bloomberg Barclays Euro Government Bond 15-30 Year Term
IBGL,IE00B1FZS913,Other,4.62,iShares Euro Government Bond 15-30yr UCITS ETF,Bloomberg Barclays Euro Government Bond 15-30 Year Term
IDVY,IE00B0M62S72,Netherlands,24.59,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,France,18.38,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Germany,18.01,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
IDVY,IE00B0M62S72,Italy,10.71,iShares Euro Dividend UCITS ETF,EURO STOXX Select Dividend 30
